N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
137,3,1,6,8,Quillosisa,Quillosisa,1-6-8,70,12,3.002,647503,9508186,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
138,3,1,6,12,Quina quina,Quina quina,1-6-12,58,15,2.576,647528,9508078,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
139,3,1,6,13,Ana caspi,Ana caspi,1-6-13,60,16,2.941,647538,9508022,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
140,3,1,6,14,Cachimbo,Cachimbo,1-6-14,58,17,2.920,647512,9507958,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
141,3,1,6,15,Cachimbo,Cachimbo,1-6-15,58,15,2.576,647535,9507904,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
142,3,1,6,16,Quillosisa,Quillosisa,1-6-16,62,13,2.551,647538,9507911,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
143,3,1,6,17,Cachimbo,Cachimbo,1-6-17,73,14,3.809,647542,9507876,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
144,3,1,6,18,Quillosisa,Quillosisa,1-6-18,83,16,5.627,647537,9507855,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
145,3,1,6,20,Pashaco,Pashaco,1-6-20,99,15,7.505,647550,9507835,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
146,3,1,6,21,Quina quina,Quina quina,1-6-21,69,14,3.403,647518,9507820,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
